GeneName	RefSeq_Summary
LOC18098261	uncharacterized LOC18098261	uncharacterized LOC18098261
LOC18098262	uncharacterized LOC18098262	uncharacterized LOC18098262
LOC18098263	uncharacterized LOC18098263	uncharacterized LOC18098263
LOC18098264	pentatricopeptide repeat-containing protein At2g22410, mitochondrial	pentatricopeptide repeat-containing protein At2g22410, mitochondrial
LOC18098267	serine/threonine-protein kinase SRK2A	serine/threonine-protein kinase SRK2A
LOC18098269	serine/threonine-protein kinase SRK2A	serine/threonine-protein kinase SRK2A
LOC18098270	transmembrane 9 superfamily member 1	transmembrane 9 superfamily member 1
LOC18098271	ferredoxin	ferredoxin
LOC18098272	MLO-like protein 4	MLO-like protein 4
LOC18098273	multiple organellar RNA editing factor 1, mitochondrial	multiple organellar RNA editing factor 1, mitochondrial
LOC18098276	multiple organellar RNA editing factor 1, mitochondrial	multiple organellar RNA editing factor 1, mitochondrial
LOC18098277	phospholipase D gamma 1	phospholipase D gamma 1
LOC18098278	sm-like protein LSM2	sm-like protein LSM2
LOC18098279	uncharacterized At4g06598	uncharacterized At4g06598
LOC18098280	COBRA-like protein 6	COBRA-like protein 6
LOC18098281	ubiquitin-like domain-containing CTD phosphatase	ubiquitin-like domain-containing CTD phosphatase
LOC18098285	uncharacterized LOC18098285	uncharacterized LOC18098285
LOC18098296	zinc finger transcription factor YY1	zinc finger transcription factor YY1
LOC18098297	serine/threonine-protein kinase-like protein At5g23170	serine/threonine-protein kinase-like protein At5g23170
LOC18098299	transcription termination factor MTERF5, chloroplastic	transcription termination factor MTERF5, chloroplastic
LOC18098300	transcription factor TCP8	transcription factor TCP8
LOC18098301	agamous-like MADS-box protein AGL75	agamous-like MADS-box protein AGL75
LOC18098302	protein EI24 homolog	protein EI24 homolog
LOC18098303	ATP phosphoribosyltransferase 2, chloroplastic	ATP phosphoribosyltransferase 2, chloroplastic
LOC18098304	ribosome biogenesis protein BOP1 homolog	ribosome biogenesis protein BOP1 homolog
LOC18098305	nifU-like protein 2, chloroplastic	nifU-like protein 2, chloroplastic
LOC18098306	WEB family protein At1g75720	WEB family protein At1g75720
LOC18098308	DExH-box ATP-dependent RNA helicase DExH7, chloroplastic	DExH-box ATP-dependent RNA helicase DExH7, chloroplastic
LOC18098309	uncharacterized At5g49945	uncharacterized At5g49945
LOC18098310	embryogenesis-associated protein EMB8	embryogenesis-associated protein EMB8
LOC18098311	protein WHAT'S THIS FACTOR 1 homolog	protein WHAT'S THIS FACTOR 1 homolog
LOC18098312	metallothiol transferase FosB	metallothiol transferase FosB
LOC18098313	ion channel DMI1	ion channel DMI1
LOC18098314	protein DMP3	protein DMP3
LOC18098315	bromodomain testis-specific protein	bromodomain testis-specific protein
LOC18098316	transcription factor GTE11	transcription factor GTE11
LOC18098317	YTH domain-containing family protein 1	YTH domain-containing family protein 1
LOC18098318	leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1	leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1
LOC18098319	DEAD-box ATP-dependent RNA helicase 35	DEAD-box ATP-dependent RNA helicase 35
LOC18098321	uncharacterized LOC18098321	uncharacterized LOC18098321
LOC18098322	50S ribosomal protein L7/L12	50S ribosomal protein L7/L12
LOC18098323	stromal 70 kDa heat shock-related protein, chloroplastic	stromal 70 kDa heat shock-related protein, chloroplastic
LOC18098324	uncharacterized LOC18098324	uncharacterized LOC18098324
LOC18098329	acetylajmalan esterase	acetylajmalan esterase
LOC18098330	phosphoribosylamine--glycine ligase	phosphoribosylamine--glycine ligase
LOC18098331	putative pre-16S rRNA nuclease	putative pre-16S rRNA nuclease
LOC18098332	shaggy-related protein kinase kappa	shaggy-related protein kinase kappa
LOC18098334	regulator of nonsense transcripts UPF3	regulator of nonsense transcripts UPF3
LOC18098335	KH domain-containing protein At1g09660/At1g09670	KH domain-containing protein At1g09660/At1g09670
LOC18098337	uncharacterized LOC18098337	uncharacterized LOC18098337
LOC18098338	elongation factor 1-gamma 2	elongation factor 1-gamma 2
LOC18098340	ras-related protein RABA2a	ras-related protein RABA2a
LOC18098341	ras-related protein RABD1	ras-related protein RABD1
LOC18098342	leucine--tRNA ligase, cytoplasmic	leucine--tRNA ligase, cytoplasmic
LOC18098343	glucuronoxylan 4-O-methyltransferase 1	glucuronoxylan 4-O-methyltransferase 1
LOC18098344	probable serine/threonine-protein kinase At1g09600	probable serine/threonine-protein kinase At1g09600
LOC18098345	uncharacterized LOC18098345	uncharacterized LOC18098345
LOC18098347	non-lysosomal glucosylceramidase	non-lysosomal glucosylceramidase
LOC18098350	COX assembly mitochondrial protein 2 homolog	COX assembly mitochondrial protein 2 homolog
LOC18098351	protein FAR1-RELATED SEQUENCE 11	protein FAR1-RELATED SEQUENCE 11
LOC18098352	uncharacterized LOC18098352	uncharacterized LOC18098352
LOC18098353	pentatricopeptide repeat-containing protein At1g10270	pentatricopeptide repeat-containing protein At1g10270
LOC18098355	uncharacterized LOC18098355	uncharacterized LOC18098355
LOC18098356	RNA pseudouridine synthase 3, mitochondrial	RNA pseudouridine synthase 3, mitochondrial
LOC18098357	chloride channel protein CLC-c	chloride channel protein CLC-c
LOC18098358	dynamin-2A	dynamin-2A
LOC18098359	uncharacterized LOC18098359	uncharacterized LOC18098359
LOC18098360	NADPH-dependent pterin aldehyde reductase	NADPH-dependent pterin aldehyde reductase
LOC18098361	uncharacterized LOC18098361	uncharacterized LOC18098361
LOC18098363	zinc finger CCCH domain-containing protein 5	zinc finger CCCH domain-containing protein 5
LOC18098364	DExH-box ATP-dependent RNA helicase DExH9	DExH-box ATP-dependent RNA helicase DExH9
LOC18098365	auxin response factor 1	auxin response factor 1
LOC18098366	mitotic spindle checkpoint protein MAD1	mitotic spindle checkpoint protein MAD1
LOC18098368	protein NRT1/ PTR FAMILY 4.3	protein NRT1/ PTR FAMILY 4.3
LOC18098369	pentatricopeptide repeat-containing protein At1g71210, mitochondrial	pentatricopeptide repeat-containing protein At1g71210, mitochondrial
LOC18098370	survival of motor neuron-related-splicing factor 30	survival of motor neuron-related-splicing factor 30
LOC18098371	cullin-associated NEDD8-dissociated protein 1	cullin-associated NEDD8-dissociated protein 1
LOC18098372	CLP protease regulatory subunit CLPX3, mitochondrial	CLP protease regulatory subunit CLPX3, mitochondrial
LOC18098373	protein root UVB sensitive 6	protein root UVB sensitive 6
LOC18098374	zinc-finger homeodomain protein 4	zinc-finger homeodomain protein 4
LOC18098375	squamous cell carcinoma antigen recognized by T-cells 3	squamous cell carcinoma antigen recognized by T-cells 3
LOC18098376	methionine S-methyltransferase	methionine S-methyltransferase
LOC18098377	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3-B	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3-B
LOC18098378	TMV resistance protein N	TMV resistance protein N
LOC18098379	B3 domain-containing transcription factor VRN1	B3 domain-containing transcription factor VRN1
LOC18098380	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic
LOC18098381	protein STICHEL	protein STICHEL
LOC18098382	GTPase Der	GTPase Der
LOC18098384	NAC domain-containing protein 35	NAC domain-containing protein 35
LOC18098385	cinnamoyl-CoA reductase 2	cinnamoyl-CoA reductase 2
LOC18098386	START domain-containing protein 10	START domain-containing protein 10
LOC18098388	probable leucine-rich repeat receptor-like protein kinase At5g49770	probable leucine-rich repeat receptor-like protein kinase At5g49770
LOC18098389	probable leucine-rich repeat receptor-like protein kinase At5g49770	probable leucine-rich repeat receptor-like protein kinase At5g49770
LOC18098390	probable leucine-rich repeat receptor-like protein kinase At5g49770	probable leucine-rich repeat receptor-like protein kinase At5g49770
LOC18098391	probable leucine-rich repeat receptor-like protein kinase At5g49770	probable leucine-rich repeat receptor-like protein kinase At5g49770
LOC18098394	probable leucine-rich repeat receptor-like protein kinase At5g49770	probable leucine-rich repeat receptor-like protein kinase At5g49770
LOC18098395	probable leucine-rich repeat receptor-like protein kinase At5g49770	probable leucine-rich repeat receptor-like protein kinase At5g49770
LOC18098396	probable leucine-rich repeat receptor-like protein kinase At5g49770	probable leucine-rich repeat receptor-like protein kinase At5g49770
LOC18098397	glutathione S-transferase zeta class	glutathione S-transferase zeta class
LOC18098398	F-box protein At5g07610	F-box protein At5g07610
LOC18098399	putative kinase-like protein TMKL1	putative kinase-like protein TMKL1
LOC18098400	acid phosphatase 1	acid phosphatase 1
LOC18098401	U-box domain-containing protein 35	U-box domain-containing protein 35
LOC18098402	derlin-1	derlin-1
LOC18098403	derlin-1	derlin-1
LOC18098404	ceramide kinase	ceramide kinase
LOC18098405	uncharacterized Rho GTPase-activating protein At5g61530	uncharacterized Rho GTPase-activating protein At5g61530
LOC18098406	hexose carrier protein HEX6	hexose carrier protein HEX6
LOC18098409	quinone oxidoreductase	quinone oxidoreductase
LOC18098410	pectin acetylesterase 11	pectin acetylesterase 11
LOC18098411	pectin acetylesterase 8	pectin acetylesterase 8
LOC18098412	uncharacterized LOC18098412	uncharacterized LOC18098412
LOC18098413	uncharacterized LOC18098413	uncharacterized LOC18098413
LOC18098415	NDR1/HIN1-like protein 12	NDR1/HIN1-like protein 12
LOC18098416	uncharacterized LOC18098416	uncharacterized LOC18098416
LOC18098420	long-chain-alcohol oxidase FAO4A	long-chain-alcohol oxidase FAO4A
LOC18098421	uncharacterized LOC18098421	uncharacterized LOC18098421
LOC18098422	decapping 5-like protein	decapping 5-like protein
LOC18098423	AP-4 complex subunit epsilon	AP-4 complex subunit epsilon
LOC18098424	uncharacterized LOC18098424	uncharacterized LOC18098424
LOC18098425	abscisic acid 8'-hydroxylase 1	abscisic acid 8'-hydroxylase 1
LOC18098426	(+)-neomenthol dehydrogenase	(+)-neomenthol dehydrogenase
LOC18098427	pto-interacting protein 1	pto-interacting protein 1
LOC18098428	arabinosyltransferase XEG113	arabinosyltransferase XEG113
LOC18098429	ABC transporter E family member 2	ABC transporter E family member 2
LOC18098430	integrator complex subunit 9 homolog	integrator complex subunit 9 homolog
LOC18098431	ctenidin-1	ctenidin-1
LOC18098432	F-box protein SKIP31	F-box protein SKIP31
LOC18098433	uncharacterized zinc finger CCHC domain-containing protein At4g19190	uncharacterized zinc finger CCHC domain-containing protein At4g19190
LOC18098434	ABC transporter G family member 14	ABC transporter G family member 14
LOC18098435	conserved oligomeric Golgi complex subunit 6	conserved oligomeric Golgi complex subunit 6
LOC18098438	probable apyrase 7	probable apyrase 7
LOC18098439	pentatricopeptide repeat-containing protein At5g66520	pentatricopeptide repeat-containing protein At5g66520
LOC18098440	WAT1-related protein At4g19185	WAT1-related protein At4g19185
LOC18098442	protein NRT1/ PTR FAMILY 4.5	protein NRT1/ PTR FAMILY 4.5
LOC18098443	pectin acetylesterase 12	pectin acetylesterase 12
LOC18098444	transcription factor MYB61	transcription factor MYB61
LOC18098445	titin	titin
LOC18098446	transcription factor PIF3	transcription factor PIF3
LOC18098449	hydrophobic protein LTI6B	hydrophobic protein LTI6B
LOC18098450	uncharacterized LOC18098450	uncharacterized LOC18098450
LOC18098452	agamous-like MADS-box protein AGL80	agamous-like MADS-box protein AGL80
LOC18098454	G patch domain-containing protein 8	G patch domain-containing protein 8
LOC18098455	uncharacterized LOC18098455	uncharacterized LOC18098455
LOC18098456	probable L-cysteine desulfhydrase, chloroplastic	probable L-cysteine desulfhydrase, chloroplastic
LOC18098457	uncharacterized LOC18098457	uncharacterized LOC18098457
LOC18098459	pentatricopeptide repeat-containing protein At1g62590	pentatricopeptide repeat-containing protein At1g62590
LOC18098460	probable receptor-like protein kinase At5g18500	probable receptor-like protein kinase At5g18500
LOC18098462	serine/threonine-protein kinase haspin homolog	serine/threonine-protein kinase haspin homolog
LOC18098463	glucan endo-1,3-beta-glucosidase 12	glucan endo-1,3-beta-glucosidase 12
LOC18098465	uncharacterized LOC18098465	uncharacterized LOC18098465
LOC18098466	DEAD-box ATP-dependent RNA helicase 3, chloroplastic	DEAD-box ATP-dependent RNA helicase 3, chloroplastic
LOC18098468	uncharacterized LOC18098468	uncharacterized LOC18098468
LOC18098471	uncharacterized LOC18098471	uncharacterized LOC18098471
LOC18098472	glutamate--tRNA ligase, cytoplasmic	glutamate--tRNA ligase, cytoplasmic
LOC18098473	germin-like protein 5-1	germin-like protein 5-1
LOC18098474	DEAD-box ATP-dependent RNA helicase 3, chloroplastic	DEAD-box ATP-dependent RNA helicase 3, chloroplastic
LOC18098475	nuclear envelope-associated protein 2	nuclear envelope-associated protein 2
LOC18098476	heavy metal-associated isoprenylated plant protein 24	heavy metal-associated isoprenylated plant protein 24
LOC18098477	uncharacterized LOC18098477	uncharacterized LOC18098477
LOC18098478	TMV resistance protein N	TMV resistance protein N
LOC18098480	TMV resistance protein N	TMV resistance protein N
LOC18098488	ATP-citrate synthase alpha chain protein 2	ATP-citrate synthase alpha chain protein 2
LOC18098490	FACT complex subunit SPT16	FACT complex subunit SPT16
LOC18098491	FACT complex subunit SPT16	FACT complex subunit SPT16
LOC18098492	shaggy-related protein kinase alpha	shaggy-related protein kinase alpha
LOC18098494	putative pentatricopeptide repeat-containing protein At3g49142	putative pentatricopeptide repeat-containing protein At3g49142
LOC18098495	pyrrolidone-carboxylate peptidase	pyrrolidone-carboxylate peptidase
LOC18098499	cilia- and flagella-associated protein 251	cilia- and flagella-associated protein 251
LOC18098500	NRR repressor homolog 1	NRR repressor homolog 1
LOC18098501	pentatricopeptide repeat-containing protein At1g56690, mitochondrial	pentatricopeptide repeat-containing protein At1g56690, mitochondrial
LOC18098502	WAT1-related protein At1g09380	WAT1-related protein At1g09380
LOC18098503	galactinol synthase 2	galactinol synthase 2
LOC18098504	putative disease resistance RPP13-like protein 1	putative disease resistance RPP13-like protein 1
LOC18098506	uncharacterized LOC18098506	uncharacterized LOC18098506
LOC18098507	cell wall / vacuolar inhibitor of fructosidase 2	cell wall / vacuolar inhibitor of fructosidase 2
LOC18098508	ADP-ribosylation factor	ADP-ribosylation factor
LOC18098509	ADP-ribosylation factor	ADP-ribosylation factor
LOC18098510	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC18098513	receptor-like protein 13	receptor-like protein 13
LOC18098518	receptor-like protein 1	receptor-like protein 1
LOC18098519	disease resistance protein RPM1	disease resistance protein RPM1
LOC18098521	uncharacterized LOC18098521	uncharacterized LOC18098521
LOC18098523	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC18098528	receptor-like protein 13	receptor-like protein 13
LOC18098533	receptor-like protein 15	receptor-like protein 15
LOC18098536	disease resistance protein RPM1	disease resistance protein RPM1
LOC18098540	receptor-like protein 13	receptor-like protein 13
LOC18098541	receptor like protein 9a	receptor like protein 9a
LOC18098543	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC18098548	receptor-like protein 13	receptor-like protein 13
LOC18098550	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC18098552	helicase protein MOM1	helicase protein MOM1
LOC18098554	Golgi apparatus membrane protein-like protein ECHIDNA	Golgi apparatus membrane protein-like protein ECHIDNA
LOC18098555	putative disease resistance protein RGA4	putative disease resistance protein RGA4
LOC18098558	AP-3 complex subunit mu	AP-3 complex subunit mu
